Date : 2025-09-16 23:40:34
Directory : c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy
Total : 221 files,  51057 codes, 5401 comments, 10369 blanks, all 66827 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\deployment\docker-publish.yml                                               | YAML               |        228 |         10 |         40 |        278 |
| c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\deployment\scripts\deploy-blue-green.sh                                     | Shell Script       |        519 |         86 |        132 |        737 |
| c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\deployment\scripts\deploy-dev.sh                                            | Shell Script       |        209 |         36 |         53 |        298 |
| c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\deployment\scripts\deploy-prod.sh                                           | Shell Script       |        324 |         60 |         83 |        467 |
| c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\deployment\scripts\health-check.sh                                          | Shell Script       |        298 |         31 |         76 |        405 |
| c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\deployment\scripts\rollback.sh                                              | Shell Script       |        287 |         44 |         73 |        404 |
| c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\docker-compose.yml                                                          | YAML               |         30 |          5 |          0 |         35 |
| c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\docs\AUTHENTICATION_SYSTEM.md                                               | Markdown           |        294 |          0 |        112 |        406 |
| c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\docs\BALANCE_MULTI_CURRENCY_IMPLEMENTATION.md                               | Markdown           |        227 |          0 |         77 |        304 |
| c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\docs\COURSE_CATALOG_README.md                                               | Markdown           |        329 |          0 |        116 |        445 |
| c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\docs\COURSE_CATALOG_TECHNICAL_DOCS.md                                       | Markdown           |        392 |          0 |        123 |        515 |
| c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\docs\DEPLOYMENT_STRATEGY.md                                                 | Markdown           |        330 |          0 |         88 |        418 |
| c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\docs\ENTERPRISE_LOGGING_DOCS.md                                             | Markdown           |        308 |          0 |         86 |        394 |
