"filename", "language", "Markdown", "Ignore", "TypeScript", "JSON with Comments", "JavaScript", "PostCSS", "TypeScript JSX", "JSON", "YAML", "Docker", "Shell Script", "comment", "blank", "total"
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\services\profile\ProfileService.ts", "TypeScript", 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 69
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\services\profile\index.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\services\profile\profileFetchers.ts", "TypeScript", 0, 0, 154, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 178
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\services\profile\types.ts", "TypeScript", 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 109
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\styles\globals.css", "PostCSS", 0, 0, 0, 0, 0, 119, 0, 0, 0, 0, 0, 0, 7, 126
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\types\auth.ts", "TypeScript", 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 68, 14, 155
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\types\course.ts", "TypeScript", 0, 0, 293, 0, 0, 0, 0, 0, 0, 0, 0, 18, 23, 334
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\types\courses-simple.ts", "TypeScript", 0, 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 44, 26, 158
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\types\courses.ts", "TypeScript", 0, 0, 756, 0, 0, 0, 0, 0, 0, 0, 0, 432, 352, 1540
"c:\Users\dell\WebstormProjects\Gigsy_Digitopia2025\gigsy\src\types\finance.ts", "TypeScript", 0, 0, 282, 0, 0, 0, 0, 0, 0, 0, 0, 33, 41, 356
